PODER,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,ENTIDAD
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,SAN BORJA,Ministerio de Energía y Minas (MINEM)
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,SAN BORJA,PERUPETRO S.A. (PERUPETRO)
Poder Ejecutivo,Energía y Minas,LIMA,LIMA,SAN ISIDRO,Petróleos del Perú (PETROPERU)
Poder Ejecutivo,Energía y Minas,AREQUIPA,AREQUIPA,AREQUIPA,Sociedad Eléctrica del Sur Oeste S.A. (SEAL)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Centro Nacional de Salud Renal (CNSR)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,LIMA,Dirección General del Servicio Nacional del Empleo (SENEP)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,LA VICTORIA,Instituto Nacional Cardiovascular (INCOR - ESSALUD)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Ministerio de Trabajo y Promoción del Empleo (MTPE)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Programa Nacional para la Empleabilidad (Empleabilidad)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Programa Nacional para la Promoción de Oportunidades Laborales Impulsa Perú (Impulsa Perú)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Programa para la Generación de Empleo Social Inclusivo  - Trabaja Perú (Trabaja Perú)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Programa Perú Responsable (Perú Responsable)
Poder Ejecutivo,Trabajo y Promoción del Empleo,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Red Asistencial Amazonas (DRAAM- AMAZONAS)
Poder Ejecutivo,Trabajo y Promoción del Empleo,ANCASH,SANTA,CHIMBOTE,Red Asistencial Ancash (RA - ANCASH)
Poder Ejecutivo,Trabajo y Promoción del Empleo,APURIMAC,ABANCAY,ABANCAY,Red Asistencial Apurimac (RAC - APURIMAC)
Poder Ejecutivo,Trabajo y Promoción del Empleo,AREQUIPA,AREQUIPA,AREQUIPA,Red Asistencial Arequipa (RAAR - AREQUIPA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,CAJAMARCA,CAJAMARCA,CAJAMARCA,Red Asistencial Cajamarca (RA - CAJAMARCA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,CUSCO,CUSCO,WANCHAQ,Red Asistencial Cusco (RACU - CUSCO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Red Asistencial Huancavelica (RAHVC - HUANCAVELICA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,HUANUCO,HUANUCO,HUANUCO,Red Asistencial Huánuco (RAHU - HUANUCO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,ICA,ICA,ICA,RED ASISTENCIAL ICA (RAICA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,PUNO,SAN ROMAN,JULIACA,RED ASISTENCIAL JULIACA (RAJUL)
Poder Ejecutivo,Trabajo y Promoción del Empleo,JUNIN,HUANCAYO,EL TAMBO,RED ASISTENCIAL JUNIN (RAJUN)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LA LIBERTAD,TRUJILLO,TRUJILLO,RED ASISTENCIAL LA LIBERTAD (RALI)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LAMBAYEQUE,CHICLAYO,CHICLAYO,RED ASISTENCIAL LAMBAYEQUE (RAL)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LORETO,MAYNAS,PUNCHANA,RED ASISTENCIAL LORETO (RALO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,RED ASISTENCIAL MADRE DE DIOS (RAMD)
Poder Ejecutivo,Trabajo y Promoción del Empleo,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,RED ASISTENCIAL MOQUEGUA (RAMOQ)
Poder Ejecutivo,Trabajo y Promoción del Empleo,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,RED ASISTENCIAL MOYOBAMBA (RAM- MOYOBAMBA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,PASCO,PASCO,CHAUPIMARCA,RED ASISTENCIAL PASCO (RAP - PASCO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,PIURA,PIURA,PIURA,RED ASISTENCIAL PIURA (RAPI- PIURA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,PUNO,PUNO,PUNO,RED ASISTENCIAL PUNO (RAPU- PUNO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,TACNA,TACNA,CALANA,RED ASISTENCIAL TACNA (RAT - TACNA)
Poder Ejecutivo,Trabajo y Promoción del Empleo,SAN MARTIN,SAN MARTIN,TARAPOTO,RED ASISTENCIAL TARAPOTO (RATAR - TARAPOTO)
Poder Ejecutivo,Trabajo y Promoción del Empleo,TUMBES,TUMBES,TUMBES,RED ASISTENCIAL TUMBES (RAT - TUMBES)
Poder Ejecutivo,Trabajo y Promoción del Empleo,UCAYALI,CORONEL PORTILLO,CALLARIA,RED ASISTENCIAL UCAYALI (RAUC - UCAYALI)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,Seguro Social de Salud (ESSALUD)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL (SUNAFIL)
Poder Ejecutivo,Trabajo y Promoción del Empleo,LIMA,LIMA,JESUS MARIA,UE 007: Fortalece Perú (Fortalece Perú)
Poder Ejecutivo,Salud,LIMA,LIMA,JESUS MARIA,Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud (CENARES)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,DIRECCION DE RED DE SALUD LIMA CIUDAD (DRSLC)
Poder Ejecutivo,Salud,LIMA,LIMA,EL AGUSTINO,DIRECCIÓN DE RED DE SALUD LIMA ESTE METROPOLITANA (DRSLEM)
Poder Ejecutivo,Salud,LIMA,LIMA,RIMAC,Dirección de Red de Salud Lima Norte V  Rímac- SMP- Los Olivos (Red Rimac L.N.V)
Poder Ejecutivo,Salud,LIMA,LIMA,EL AGUSTINO,DIRECCIÓN DE REDES INTEGRADAS DE SALUD  LIMA ESTE (DIRIS LE)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO (DIRIS LIMA CENTRO)
Poder Ejecutivo,Salud,LIMA,LIMA,INDEPENDENCIA,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE (DIRIS L.N.)
Poder Ejecutivo,Salud,LIMA,LIMA,BARRANCO,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR (DIRIS LS)
Poder Ejecutivo,Salud,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,DIRECCION DE SALUD APURIMAC II (DISA APURIMAC II)
Poder Ejecutivo,Salud,LIMA,LIMA,BARRANCO,Dirección de Salud II Lima Sur (DISA II L.S.)
Poder Ejecutivo,Salud,LIMA,LIMA,EL AGUSTINO,Dirección de Salud IV Lima Este (DISA IV LIMA ESTE)
Poder Ejecutivo,Salud,NULL,LIMA,LA VICTORIA,Dirección de Salud V - Lima (DDS - LIMA)
Poder Ejecutivo,Salud,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,DIRECCION RED DE SALUD - SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO (DRS SJM VMT)
Poder Ejecutivo,Salud,PIURA,MORROPON,CHULUCANAS,E.S. II-1 HOSPITAL DE CHULUCANAS (ESHCHULUCANAS)
Poder Ejecutivo,Salud,LIMA,LIMA,SAN MIGUEL,FONDO INTANGIBLE SOLIDARIO DE SALUD (FISSAL)
Poder Ejecutivo,Salud,LIMA,BARRANCA,BARRANCA,Hospital Barranca Cajatambo y SBS (HBC-SBS)
Poder Ejecutivo,Salud,LIMA,LIMA,PUENTE PIEDRA,Hospital Carlos Lanfranco La Hoz (HCLLH)
Poder Ejecutivo,Salud,LIMA,LIMA,SAN MARTIN DE PORRES,Hospital Cayetano Heredia (HCH - MINSA)
Poder Ejecutivo,Salud,LIMA,LIMA,ATE,Hospital de Baja Complejidad Vitarte (HBCV)
Poder Ejecutivo,Salud,LIMA,HUARAL,CHANCAY,Hospital de Chancay (HCH)
